frame,people,distance_offenders,no_mask,fps
768,0,0,0,16.65
769,0,0,0,17.36
770,0,0,0,16.84
771,0,0,0,16.94
772,0,0,0,16.01
773,0,0,0,15.74
774,0,0,0,16.66
775,0,0,0,17.04
776,0,0,0,16.90
777,0,0,0,17.02
778,0,0,0,17.99
779,0,0,0,18.10
780,0,0,0,18.13
781,0,0,0,19.10
782,0,0,0,18.41
783,0,0,0,17.75
784,0,0,0,18.82
785,0,0,0,16.98
786,0,0,0,17.45
787,0,0,0,17.07
788,0,0,0,17.68
789,0,0,0,16.23
790,0,0,0,14.20
791,0,0,0,15.85
792,0,0,0,17.74
793,0,0,0,16.07
794,0,0,0,15.47
795,0,0,0,17.58
796,0,0,0,15.94
797,0,0,0,17.05
798,0,0,0,17.52
799,0,0,0,17.33
800,0,0,0,18.62
801,0,0,0,16.88
802,0,0,0,15.79
803,0,0,0,16.01
804,0,0,0,15.85
805,0,0,0,15.98
806,0,0,0,15.80
807,0,0,0,15.58
808,0,0,0,16.28
809,0,0,0,17.20
810,0,0,0,17.10
811,0,0,0,16.99
812,0,0,0,17.70
813,0,0,0,19.03
814,0,0,0,17.66
815,0,0,0,18.68
